Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 234,ClCC(=O)Nc1ccc2c(c1)OCO2,C9H8ClNO3,213.62,14,6,0.22,3,3,1,51.61,47.56,1.52,1.39,1.4,0.97,1.91,1.44,-2.16,1.48e+00,6.93e-03,Soluble,-1.99,2.17e+00,1.02e-02,Very soluble,-3.18,1.42e-01,6.64e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.62,0,0,0,0,0,0.55,0,1,1,2.11
Molecule 235,ClCC(=O)Nc1cccc(c1)C#C,C10H8ClNO,193.63,13,6,0.1,3,1,1,53.49,29.1,1.76,2.18,1.73,2.35,2.54,2.11,-2.56,5.36e-01,2.77e-03,Soluble,-2.42,7.29e-01,3.76e-03,Soluble,-3.5,6.05e-02,3.13e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.93,0,0,0,0,1,0.55,0,2,1,1.65
Molecule 236,ClCC(=O)Nc1cccc(c1)C(=O)N1CCSCC1,C13H15ClN2O2S,298.79,19,6,0.38,5,2,1,82.45,74.71,1.79,1.6,1.48,1.72,2.44,1.81,-2.6,7.43e-01,2.49e-03,Soluble,-2.78,4.95e-01,1.66e-03,Soluble,-3.91,3.65e-02,1.22e-04,Soluble,High,No,No,No,Yes,No,No,No,-6.99,0,0,0,0,0,0.55,0,1,0,2.14
Molecule 237,ClCC(=O)Nc1cccc(c1)Cl,C8H7Cl2NO,204.05,12,6,0.12,3,1,1,50.56,29.1,1.59,2.77,2.33,2.42,2.52,2.33,-3.02,1.94e-01,9.50e-04,Soluble,-3.04,1.88e-01,9.19e-04,Soluble,-4.04,1.86e-02,9.12e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.58,0,1,0,0,0,0.55,0,1,1,1.35
Molecule 238,ClCC(=O)Nc1cccc(c1)NC(=O)c1ccccc1,C15H13ClN2O2,288.73,20,12,0.07,6,2,2,79.76,58.2,1.97,2.42,2.73,2.65,2.71,2.5,-3.2,1.81e-01,6.27e-04,Soluble,-3.28,1.50e-01,5.19e-04,Soluble,-5.93,3.39e-04,1.17e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-6.34,0,0,0,0,0,0.55,0,1,0,1.9
Molecule 239,ClCC(=O)Nc1cccc2c1cccn2,C11H9ClN2O,220.65,15,10,0.09,3,2,1,60.85,41.99,1.55,1.33,2.22,1.51,2.47,1.82,-2.34,1.01e+00,4.56e-03,Soluble,-1.81,3.39e+00,1.54e-02,Very soluble,-4.73,4.12e-03,1.87e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.7,0,0,0,0,0,0.55,0,1,1,1.53
Molecule 240,ClCC(=O)NCC(=O)N1CCCC1,C8H13ClN2O2,204.65,13,0,0.75,5,2,1,53.26,49.41,1.81,0.18,-0.42,0.05,0.9,0.5,-0.89,2.62e+01,1.28e-01,Very soluble,-0.78,3.43e+01,1.68e-01,Very soluble,-1.71,4.03e+00,1.97e-02,Soluble,High,No,No,No,No,No,No,No,-7.42,0,1,0,0,0,0.55,0,1,1,1.77
Molecule 241,ClCC(=O)NCC1(CC1)c1ccccc1,C12H14ClNO,223.7,15,6,0.42,5,1,1,61.01,29.1,2.09,2.41,2.01,2.33,3.26,2.42,-2.71,4.35e-01,1.94e-03,Soluble,-2.66,4.86e-01,2.17e-03,Soluble,-4.65,5.02e-03,2.24e-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-5.95,0,0,0,0,0,0.55,0,1,1,1.46
Molecule 242,ClCC(=O)NCc1ccco1,C7H8ClNO2,173.6,11,5,0.29,4,2,1,41.09,42.24,1.53,0.76,0.98,0.03,1.62,0.99,-1.47,5.92e+00,3.41e-02,Very soluble,-1.23,1.03e+01,5.93e-02,Very soluble,-3.03,1.61e-01,9.27e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.82,0,1,0,0,1,0.55,0,1,1,1.93
Molecule 243,ClCC(=O)NCC1CCC1,C7H12ClNO,161.63,10,0,0.86,4,1,1,41.45,29.1,1.71,1.45,1.14,1.16,1.74,1.44,-1.49,5.21e+00,3.22e-02,Very soluble,-1.67,3.48e+00,2.15e-02,Very soluble,-2.17,1.08e+00,6.70e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,1,0.55,0,1,1,1.44
Molecule 244,ClCC(=O)NCC1CCCO1,C7H12ClNO2,177.63,11,0,0.86,4,2,1,42.53,38.33,1.73,0.57,0.52,0.28,1.47,0.91,-1.04,1.63e+01,9.20e-02,Very soluble,-0.95,2.00e+01,1.13e-01,Very soluble,-1.92,2.12e+00,1.19e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.98,0,0,0,0,1,0.55,0,1,1,2.16
Molecule 245,ClCC(=O)NCc1ccc(nc1)N1CCOCC1,C12H16ClN3O2,269.73,18,6,0.5,5,3,1,72.34,54.46,1.91,0.67,0.24,0.45,1.8,1.01,-1.85,3.80e+00,1.41e-02,Very soluble,-1.39,1.10e+01,4.07e-02,Very soluble,-3.64,6.21e-02,2.30e-04,Soluble,High,No,Yes,No,No,No,No,No,-7.47,0,0,0,0,0,0.55,0,1,0,2.23
Molecule 246,ClCC(=O)NCc1ccc(cc1)C#N,C10H9ClN2O,208.64,14,6,0.2,4,2,1,53.53,52.89,1.8,1.38,1.26,1.2,2.24,1.58,-2.06,1.83e+00,8.79e-03,Soluble,-2.09,1.68e+00,8.06e-03,Soluble,-3.92,2.53e-02,1.21e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.59,0,0,0,0,0,0.55,0,1,1,1.47
Molecule 247,ClCC(=O)NCc1ccc(cc1)Cl,C9H9Cl2NO,218.08,13,6,0.22,4,1,1,53.83,29.1,1.97,2.28,2.04,2.44,2.87,2.32,-2.71,4.29e-01,1.97e-03,Soluble,-2.53,6.46e-01,2.96e-03,Soluble,-4.45,7.81e-03,3.58e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.01,0,0,0,0,0,0.55,0,1,1,1.23
Molecule 248,ClCC(=O)NCc1ccc2c(c1)OCO2,C10H10ClNO3,227.64,15,6,0.3,4,3,1,54.88,47.56,1.97,1.67,1.12,0.99,2.25,1.6,-2.34,1.05e+00,4.62e-03,Soluble,-2.28,1.19e+00,5.21e-03,Soluble,-3.58,5.93e-02,2.61e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.5,0,0,0,0,0,0.55,0,1,1,1.95
Molecule 249,ClCC(=O)NCc1cccc(c1)N1CCCC1=O,C13H15ClN2O2,266.72,18,6,0.38,5,2,1,73.66,49.41,1.68,1.08,1.14,1.45,2.4,1.55,-2.09,2.16e+00,8.11e-03,Soluble,-1.71,5.21e+00,1.95e-02,Very soluble,-4.16,1.85e-02,6.93e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-7.16,0,0,0,0,0,0.55,0,1,0,1.72
Molecule 250,ClCC(=O)NCCC1=CCCCC1,C10H16ClNO,201.69,13,0,0.7,5,1,1,55.39,29.1,2.16,2.21,2.23,1.97,2.66,2.25,-2.15,1.42e+00,7.03e-03,Soluble,-2.46,7.06e-01,3.50e-03,Soluble,-3.13,1.48e-01,7.35e-04,Soluble,High,Yes,No,No,No,No,No,No,-5.96,0,0,0,0,0,0.55,0,2,1,2.61
Molecule 251,ClCC(=O)NCCc1ccc2c(c1)OCCO2,C12H14ClNO3,255.7,17,6,0.42,5,3,1,64.5,47.56,2.18,0.97,1.36,1.14,2.85,1.7,-1.97,2.76e+00,1.08e-02,Very soluble,-1.56,7.10e+00,2.78e-02,Very soluble,-4.26,1.39e-02,5.45e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-7.17,0,0,0,0,0,0.55,0,1,0,2.24
Molecule 252,ClCC(=O)NCCc1cccc2c1cccc2,C14H14ClNO,247.72,17,10,0.21,5,1,1,71.13,29.1,1.73,3.8,2.74,3.03,3.74,3.01,-3.88,3.30e-02,1.33e-04,Soluble,-4.11,1.94e-02,7.84e-05,Moderately soluble,-5.91,3.05e-04,1.23e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.11,0,0,0,0,0,0.55,0,1,2,1.5
Molecule 253,C=CC(=O)NCC1CCCCN1C(=O)C(F)(F)F,C11H15F3N2O2,264.24,18,0,0.64,6,5,1,62.61,49.41,1.96,1.66,2.11,0.96,1.71,1.68,-2.13,1.97e+00,7.45e-03,Soluble,-2.31,1.29e+00,4.88e-03,Soluble,-2.06,2.29e+00,8.65e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.73,0,0,0,0,0,0.55,0,1,0,2.58
Molecule 254,ClCC(=O)NC1CCC(CC1)C(F)(F)F,C9H13ClF3NO,243.65,15,0,0.89,4,4,1,51.25,29.1,1.85,2.8,3.72,2.22,2.64,2.65,-2.85,3.44e-01,1.41e-03,Soluble,-3.07,2.08e-01,8.55e-04,Soluble,-3,2.44e-01,1.00e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.8,0,0,0,0,0,0.55,0,1,1,2.7
Molecule 255,C=CC(=O)NC1CCN(C1)c1ccc(cc1)C(F)(F)F,C14H15F3N2O,284.28,20,6,0.36,5,4,1,73.03,32.34,2.5,3.03,3.36,2.55,2.82,2.85,-3.4,1.12e-01,3.95e-04,Soluble,-3.37,1.20e-01,4.22e-04,Soluble,-3.94,3.26e-02,1.15e-04,Soluble,High,Yes,No,No,No,No,No,No,-5.88,0,0,0,0,0,0.55,0,1,0,2.44
Molecule 256,C=CC(=O)NC(c1cccc(c1)C(F)(F)F)c1nnc[nH]1,C13H11F3N4O,296.25,21,11,0.15,6,6,2,67.79,70.67,1.02,1.79,3.04,1.77,3,2.13,-2.8,4.74e-01,1.60e-03,Soluble,-2.89,3.79e-01,1.28e-03,Soluble,-4.75,5.24e-03,1.77e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.84,0,0,0,0,0,0.55,0,1,0,2.91
Molecule 257,C=CC(=O)NC1CCN(CC1)c1cccc(c1)C(F)(F)F,C15H17F3N2O,298.3,21,6,0.4,5,4,1,77.84,32.34,2.67,3.39,3.75,2.79,3.07,3.14,-3.71,5.86e-02,1.97e-04,Soluble,-3.75,5.33e-02,1.79e-04,Soluble,-4.21,1.82e-02,6.11e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.71,0,0,0,0,0,0.55,0,1,0,2.03
Molecule 258,ClCC(=O)Nc1ccccc1C(F)(F)F,C9H7ClF3NO,237.61,15,6,0.22,4,4,1,50.55,29.1,1.93,1.79,3.84,2.85,2.96,2.67,-2.47,8.00e-01,3.37e-03,Soluble,-2.02,2.27e+00,9.55e-03,Soluble,-4.31,1.16e-02,4.88e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,1,1.66
Molecule 259,ClCC(=O)Nc1nnc(o1)CC(F)(F)F,C6H5ClF3N3O2,243.57,15,5,0.5,5,7,1,43.37,68.02,1.13,1.29,2.42,0.4,1.89,1.43,-2.08,2.03e+00,8.33e-03,Soluble,-2.32,1.17e+00,4.81e-03,Soluble,-3.19,1.59e-01,6.53e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.87,0,0,0,0,0,0.55,0,1,1,2.77
Molecule 260,C=CC(=O)NC1(CCC1)c1noc(n1)C(F)F,C10H11F2N3O2,243.21,17,5,0.5,5,6,1,53.47,68.02,1.91,1.24,2.1,0.66,2.25,1.63,-2.02,2.34e+00,9.62e-03,Soluble,-2.27,1.32e+00,5.42e-03,Soluble,-3.02,2.30e-01,9.46e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.9,0,0,0,0,0,0.55,0,1,1,2.88
Molecule 261,C=CC(=O)Nc1ccc2c(c1)cnn2C(F)F,C11H9F2N3O,237.21,17,9,0.09,4,4,1,59.74,46.92,1.77,2.19,2.88,1.7,1.7,2.05,-2.82,3.61e-01,1.52e-03,Soluble,-2.81,3.68e-01,1.55e-03,Soluble,-3.15,1.69e-01,7.14e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.19,0,0,0,0,0,0.55,0,1,1,1.89
Molecule 262,C=CC(=O)Nc1cccc(c1)OC(F)F,C10H9F2NO2,213.18,15,6,0.1,5,4,1,51.68,38.33,1.86,2.84,3.06,1.74,2.17,2.34,-2.92,2.58e-01,1.21e-03,Soluble,-3.3,1.06e-01,4.98e-04,Soluble,-3.2,1.35e-01,6.34e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.58,0,0,0,0,0,0.55,0,1,1,1.83
Molecule 263,ClCC(=O)Nc1ccc2c(c1)OC(O2)(F)F,C9H6ClF2NO3,249.6,16,6,0.22,3,5,1,51.75,47.56,1.67,2.3,2.84,1.26,2.33,2.08,-2.92,3.03e-01,1.21e-03,Soluble,-2.94,2.89e-01,1.16e-03,Soluble,-3.72,4.71e-02,1.89e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.19,0,0,0,0,0,0.55,0,1,1,2.29
Molecule 264,C=CC(=O)NCCc1cc(F)cc2c1OCOC2,C13H14FNO3,251.25,18,6,0.31,5,4,1,63.55,47.56,2.5,1.68,1.81,1.59,3.13,2.14,-2.37,1.06e+00,4.24e-03,Soluble,-2.29,1.28e+00,5.09e-03,Soluble,-3.97,2.69e-02,1.07e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.64,0,0,0,0,0,0.55,0,1,0,2.67
Molecule 265,C=CC(=O)NCc1cnc(c(c1)F)N1CCOCC1,C13H16FN3O2,265.28,19,6,0.38,5,4,1,71.84,54.46,2.35,0.74,0.75,0.76,2.06,1.33,-1.85,3.71e+00,1.40e-02,Very soluble,-1.46,9.14e+00,3.45e-02,Very soluble,-3.34,1.20e-01,4.53e-04,Soluble,High,Yes,No,No,No,No,No,No,-7.39,0,0,0,0,0,0.55,0,1,0,2.46
Molecule 266,ClCC(=O)Nc1ccc(c(c1)F)Cl,C8H6Cl2FNO,222.04,13,6,0.12,3,2,1,50.52,29.1,1.64,2.76,2.89,2.83,2.96,2.62,-3.1,1.77e-01,7.96e-04,Soluble,-3.03,2.09e-01,9.41e-04,Soluble,-4.32,1.06e-02,4.78e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.69,0,1,0,0,0,0.55,0,1,1,1.58
Molecule 267,C=CC(=O)N1Cc2c(C1)cc(c(c2)F)F,C11H9F2NO,209.19,15,6,0.18,2,3,0,55.13,20.31,2.22,1.58,2.15,2.51,3.06,2.3,-2.3,1.06e+00,5.05e-03,Soluble,-1.62,5.05e+00,2.41e-02,Very soluble,-3.25,1.19e-01,5.69e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.45,0,0,0,0,0,0.55,0,1,1,1.66
Molecule 268,C=CC(=O)NC1(CCC1)c1ccc(cc1F)F,C13H13F2NO,237.25,17,6,0.31,4,3,1,60.46,29.1,2.5,2.53,3.38,3.05,3.85,3.06,-2.9,2.97e-01,1.25e-03,Soluble,-2.79,3.87e-01,1.63e-03,Soluble,-4.51,7.38e-03,3.11e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.95,0,0,0,0,0,0.55,0,1,1,1.93
Molecule 269,C=CC(=O)NC1CCN(C1=O)c1ccc(c(c1)Cl)F,C13H12ClFN2O2,282.7,19,6,0.23,4,3,1,73.2,49.41,2.04,2.11,1.93,2.03,2.53,2.13,-2.89,3.63e-01,1.28e-03,Soluble,-2.78,4.71e-01,1.67e-03,Soluble,-3.84,4.10e-02,1.45e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.53,0,0,0,0,0,0.55,0,1,0,2.55
Molecule 270,C=CC(=O)N1CCCC(C1)c1ccc(c(c1)F)F,C14H15F2NO,251.27,18,6,0.36,3,3,0,69.4,20.31,2.73,2.75,3.32,3.3,3.64,3.15,-3.18,1.66e-01,6.62e-04,Soluble,-2.83,3.70e-01,1.47e-03,Soluble,-3.85,3.55e-02,1.41e-04,Soluble,High,Yes,No,No,No,No,No,No,-5.88,0,0,0,0,0,0.55,0,1,0,2.44
Molecule 271,ClCC(=O)NCCc1ccc(cc1)F,C10H11ClFNO,215.65,14,6,0.3,5,2,1,53.58,29.1,1.91,2.22,2.14,2.58,3.01,2.37,-2.56,5.90e-01,2.74e-03,Soluble,-2.47,7.37e-01,3.42e-03,Soluble,-4.51,6.60e-03,3.06e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.04,0,0,0,0,0,0.55,0,1,1,1.47
Molecule 272,C=CC(=O)Nc1ccc(c(c1)N1CCOCC1)F,C13H15FN2O2,250.27,18,6,0.31,4,3,1,70.77,41.57,2.24,1.54,1.64,1.45,2.24,1.82,-2.34,1.13e+00,4.52e-03,Soluble,-2.02,2.38e+00,9.50e-03,Soluble,-3.31,1.21e-01,4.85e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.73,0,0,0,0,0,0.55,0,1,0,2.32
Molecule 273,ClCC(=O)Nc1ccc(cc1Cl)F,C8H6Cl2FNO,222.04,13,6,0.12,3,2,1,50.52,29.1,1.87,2.27,2.89,2.83,2.96,2.56,-2.79,3.60e-01,1.62e-03,Soluble,-2.52,6.74e-01,3.03e-03,Soluble,-4.32,1.06e-02,4.78e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.04,0,1,0,0,0,0.55,0,1,1,1.66
Molecule 274,ClCC(=O)Nc1ccc(cc1F)F,C8H6ClF2NO,205.59,13,6,0.12,3,3,1,45.47,29.1,1.68,2,2.79,2.68,2.74,2.38,-2.52,6.23e-01,3.03e-03,Soluble,-2.24,1.19e+00,5.78e-03,Soluble,-3.98,2.14e-02,1.04e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.13,0,1,0,0,0,0.55,0,1,1,1.58
Molecule 275,ClCC(=O)Nc1ccc(c(c1)F)F,C8H6ClF2NO,205.59,13,6,0.12,3,3,1,45.47,29.1,1.46,2.23,2.79,2.68,2.74,2.38,-2.66,4.47e-01,2.17e-03,Soluble,-2.48,6.86e-01,3.34e-03,Soluble,-3.98,2.14e-02,1.04e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.97,0,1,0,0,0,0.55,0,1,1,1.48
Molecule 276,C=CC(=O)N1CCN(C(=O)C1)c1cccc(c1)F,C13H13FN2O2,248.25,18,6,0.23,3,3,0,72.2,40.62,2.27,1.27,0.85,1.51,1.82,1.54,-2.23,1.47e+00,5.92e-03,Soluble,-1.72,4.71e+00,1.90e-02,Very soluble,-2.75,4.44e-01,1.79e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.91,0,0,0,0,0,0.55,0,1,1,2
Molecule 277,ClCC(=O)NCc1cccc(c1)F,C9H9ClFNO,201.63,13,6,0.22,4,2,1,48.78,29.1,1.67,2.12,1.95,2.29,2.65,2.14,-2.5,6.33e-01,3.14e-03,Soluble,-2.36,8.76e-01,4.34e-03,Soluble,-4.11,1.57e-02,7.80e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.02,0,0,0,0,0,0.55,0,1,1,1.32
Molecule 278,Fc1cccc2c1OCCC2NC(=O)C=C,C12H12FNO2,221.23,16,6,0.25,3,3,1,57.5,38.33,2.22,1.86,2.05,1.77,2.59,2.1,-2.46,7.62e-01,3.44e-03,Soluble,-2.29,1.14e+00,5.17e-03,Soluble,-3.47,7.50e-02,3.39e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.33,0,0,0,0,0,0.55,0,1,1,2.62
Molecule 279,C=CC(=O)NCc1ccc(o1)c1ccccc1F,C14H12FNO2,245.25,18,11,0.07,5,3,1,66.02,42.24,2.53,2.49,3.16,1.82,3.61,2.72,-3.05,2.18e-01,8.88e-04,Soluble,-3.02,2.33e-01,9.50e-04,Soluble,-5.26,1.33e-03,5.43e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.03,0,0,0,0,0,0.55,0,1,1,2.67
Molecule 280,C=CC(=O)NC1CCN(C1)c1ncccc1F,C12H14FN3O,235.26,17,6,0.33,4,3,1,65.79,45.23,2.12,1.51,1.14,1.32,1.65,1.55,-2.25,1.33e+00,5.66e-03,Soluble,-2.07,2.01e+00,8.55e-03,Soluble,-2.97,2.50e-01,1.06e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.66,0,0,0,0,0,0.55,0,1,1,2.75
Molecule 281,C=CC(=O)NCc1nnc(s1)c1ccncc1F,C11H9FN4OS,264.28,18,11,0.09,5,5,1,65.01,96.01,1.52,0.8,1.81,0.42,3.25,1.56,-2.1,2.08e+00,7.86e-03,Soluble,-2.4,1.06e+00,4.00e-03,Soluble,-4.2,1.67e-02,6.32e-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-7.34,0,0,0,0,0,0.55,0,1,0,2.85
Molecule 282,N#C/C(=C\c1cc(cc(c1)C(F)(F)F)C(F)(F)F)/C(=O)N,C12H6F6N2O,308.18,21,6,0.17,4,8,1,58.81,66.88,1.95,3.33,5.31,2.73,3.47,3.36,-3.8,4.93e-02,1.60e-04,Soluble,-4.41,1.20e-02,3.88e-05,Moderately soluble,-3.92,3.69e-02,1.20e-04,Soluble,High,No,No,Yes,Yes,No,No,No,-5.82,0,0,0,0,0,0.55,0,2,0,2.48
Molecule 283,C=CC(=O)NCC1(CCCC1)C(=O)N,C10H16N2O2,196.25,14,0,0.6,5,2,2,53.25,72.19,1.28,0.41,0.33,0.25,1.07,0.67,-0.99,2.03e+01,1.04e-01,Very soluble,-1.49,6.31e+00,3.22e-02,Very soluble,-1.7,3.90e+00,1.99e-02,Soluble,High,No,No,No,No,No,No,No,-7.21,0,0,0,0,1,0.55,0,1,1,1.91
Molecule 284,ClCC(=O)Nc1sc2c(c1C(=O)N)CCC2,C10H11ClN2O2S,258.72,16,5,0.4,4,2,2,64.15,100.43,1.63,1.85,1.32,0.95,2.94,1.74,-2.58,6.85e-01,2.65e-03,Soluble,-3.58,6.81e-02,2.63e-04,Soluble,-3.11,2.00e-01,7.74e-04,Soluble,High,No,No,Yes,Yes,No,No,No,-6.56,0,0,0,0,0,0.55,0,1,0,2.82
Molecule 285,ClCC(=O)N1CCCCC1C(=O)N,C8H13ClN2O2,204.65,13,0,0.75,3,2,1,53.17,63.4,0.87,-0.36,-0.29,0.05,0.47,0.15,-0.68,4.24e+01,2.07e-01,Very soluble,-0.51,6.34e+01,3.10e-01,Very soluble,-0.94,2.36e+01,1.15e-01,Soluble,High,No,No,No,No,No,No,No,-7.8,0,0,0,0,0,0.55,0,1,1,2.25
Molecule 286,ClCC(=O)N1CCCC(C1)C(=O)N,C8H13ClN2O2,204.65,13,0,0.75,3,2,1,53.17,63.4,1.11,-0.28,-0.43,0.05,0.47,0.18,-0.73,3.77e+01,1.84e-01,Very soluble,-0.59,5.24e+01,2.56e-01,Very soluble,-0.94,2.36e+01,1.15e-01,Soluble,High,No,No,No,No,No,No,No,-7.75,0,1,0,0,0,0.55,0,1,1,2.22
Molecule 287,ClCC(=O)Nc1ccccc1C(=O)N,C9H9ClN2O2,212.63,14,6,0.11,4,2,2,53.65,72.19,0.95,0.94,0.77,1,1.08,0.95,-1.8,3.34e+00,1.57e-02,Very soluble,-2.04,1.93e+00,9.07e-03,Soluble,-3.02,2.05e-01,9.66e-04,Soluble,High,No,No,No,No,No,No,No,-6.93,0,0,0,0,0,0.55,0,1,1,1.59
Molecule 288,ClCC(=O)Nc1cc(ccc1Cl)S(=O)(=O)N,C8H8Cl2N2O3S,283.13,16,6,0.12,4,4,2,61.56,97.64,0.48,0.75,2.05,0.77,0.77,0.96,-2.08,2.35e+00,8.29e-03,Soluble,-2.38,1.18e+00,4.17e-03,Soluble,-3.6,7.16e-02,2.53e-04,Soluble,High,No,No,No,No,No,No,No,-7.49,0,0,0,0,0,0.55,0,1,0,2.25
Molecule 289,C=CC(=O)N(c1ccccc1)c1ccc(cc1)Br,C15H12BrNO,302.17,18,12,0,4,1,0,77.93,20.31,3.07,4.29,4.3,4.09,3.54,3.86,-4.65,6.84e-03,2.26e-05,Moderately soluble,-4.43,1.12e-02,3.72e-05,Moderately soluble,-5.49,9.87e-04,3.27e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-5.1,0,0,0,0,0,0.55,0,1,1,2.11
Molecule 290,C=CC(=O)N(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)Cc1cccnc1,C17H12F6N2O,374.28,26,12,0.18,7,8,0,82.28,33.2,2.81,4.06,6.99,3.64,4.86,4.47,-4.6,9.45e-03,2.52e-05,Moderately soluble,-4.46,1.29e-02,3.46e-05,Moderately soluble,-6.39,1.51e-04,4.04e-07,Poorly soluble,Low,No,No,Yes,Yes,Yes,Yes,No,-5.7,0,1,0,1,0,0.55,0,1,2,2.31
Molecule 291,C=CC(=O)N1CCc2c(C1)cc(c(c2)OC)OC,C14H17NO3,247.29,18,6,0.36,4,3,0,73.01,38.77,2.76,1.78,1.24,1.31,2.55,1.93,-2.48,8.24e-01,3.33e-03,Soluble,-2.21,1.52e+00,6.13e-03,Soluble,-3.22,1.49e-01,6.03e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-6.54,0,0,0,0,0,0.55,0,1,1,2.12
Molecule 292,C=CC(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F,C11H7F6NO,283.17,19,6,0.18,5,7,1,55.09,29.1,2.14,4.31,5.96,3.71,3.92,4.01,-4.21,1.73e-02,6.10e-05,Moderately soluble,-4.63,6.57e-03,2.32e-05,Moderately soluble,-4.61,6.90e-03,2.44e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-4.97,0,1,0,1,0,0.55,0,1,1,1.81
Molecule 293,ClCC(=O)N(c1ccccc1)C1CCN(CC1)C(=O)c1ccccc1,C20H21ClN2O2,356.85,25,12,0.3,6,2,0,104.09,40.62,3.04,3.61,3.18,3.15,3.12,3.22,-4.29,1.85e-02,5.18e-05,Moderately soluble,-4.15,2.52e-02,7.07e-05,Moderately soluble,-5.62,8.60e-04,2.41e-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-5.91,0,0,0,0,0,0.55,0,1,2,2.13
Molecule 294,ClCC(=O)N1CCCc2c1ccc(c2)OC,C12H14ClNO2,239.7,16,6,0.42,3,2,0,67.54,29.54,2.35,2.27,1.83,1.99,2.65,2.22,-2.84,3.50e-01,1.46e-03,Soluble,-2.53,7.12e-01,2.97e-03,Soluble,-3.67,5.15e-02,2.15e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.15,0,0,0,0,0,0.55,0,1,1,1.96
Molecule 295,ClCC(=O)N1CCC(CC1)Cc1ccccc1,C14H18ClNO,251.75,17,6,0.5,4,1,0,74.75,20.31,2.57,3.05,2.33,2.85,3.33,2.83,-3.32,1.21e-01,4.79e-04,Soluble,-3.14,1.81e-01,7.20e-04,Soluble,-4.27,1.35e-02,5.37e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-5.67,0,0,0,0,0,0.55,0,1,0,1.57
