Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 99,ClCC(=O)Nc1n(Cc2ccco2)c(c(c1C#N)C)C,C14H14ClN3O2,291.73,20,10,0.29,5,3,1,76.2,70.96,1.84,2.52,2.6,0.72,2.85,2.1,-3.28,1.54e-01,5.29e-04,Soluble,-3.66,6.44e-02,2.21e-04,Soluble,-4.79,4.70e-03,1.61e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.29,0,0,0,0,0,0.55,0,1,0,2.95
Molecule 100,ClCC(=O)Nc1c(C)n(n(c1=O)c1ccccc1)C,C13H14ClN3O2,279.72,19,11,0.23,4,2,1,75.37,56.03,1.67,0.1,1.47,1.91,1.61,1.35,-1.8,4.42e+00,1.58e-02,Very soluble,-0.83,4.12e+01,1.47e-01,Very soluble,-3.8,4.41e-02,1.58e-04,Soluble,High,Yes,No,No,No,No,No,No,-7.94,0,0,0,0,0,0.55,0,1,0,2.48
Molecule 101,Cc1cc(no1)NC(=O)CCl,C6H7ClN2O2,174.58,11,5,0.33,3,3,1,40.58,55.13,0.69,0.9,0.97,-0.07,1.3,0.76,-1.63,4.11e+00,2.36e-02,Very soluble,-1.64,3.97e+00,2.28e-02,Very soluble,-2.64,3.97e-01,2.28e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.73,0,1,0,0,1,0.55,0,1,1,2.39
Molecule 102,C=CC(=O)NC1(CCOCC1)c1scc(n1)C,C12H16N2O2S,252.33,17,5,0.5,4,3,1,67.08,79.46,2.38,1.29,1.65,0.29,3.49,1.82,-2.17,1.70e+00,6.75e-03,Soluble,-2.56,6.97e-01,2.76e-03,Soluble,-3.25,1.42e-01,5.62e-04,Soluble,High,No,No,Yes,Yes,No,No,No,-6.92,0,0,0,0,0,0.55,0,1,0,2.93
Molecule 103,ClCC(=O)Nc1cccc(c1)c1csc(n1)C,C12H11ClN2OS,266.75,17,11,0.17,4,2,1,71.62,70.23,1.96,2.81,3.11,1.51,4.18,2.71,-3.48,8.85e-02,3.32e-04,Soluble,-3.94,3.05e-02,1.14e-04,Soluble,-5.22,1.60e-03,6.01e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.93,0,0,0,0,0,0.55,0,1,0,2.33
Molecule 104,C=CC(=O)NCCc1csc(n1)C,C9H12N2OS,196.27,13,5,0.33,5,2,1,53.8,70.23,2.16,1.55,1.3,0.26,3,1.65,-1.99,2.02e+00,1.03e-02,Very soluble,-2.63,4.55e-01,2.32e-03,Soluble,-2.94,2.24e-01,1.14e-03,Soluble,High,No,No,Yes,No,No,No,No,-6.4,0,0,0,0,1,0.55,0,1,1,2.31
Molecule 105,ClCC(=O)N1CCN(CC1)Cc1csc(n1)C,C11H16ClN3OS,273.78,17,5,0.64,4,3,0,77.39,64.68,2.51,1.12,0.42,0.37,2.83,1.45,-2.2,1.74e+00,6.36e-03,Soluble,-2.07,2.32e+00,8.48e-03,Soluble,-2.84,3.98e-01,1.46e-03,Soluble,High,No,No,No,Yes,No,No,No,-7.17,0,0,0,0,0,0.55,0,1,0,2.69
Molecule 106,ClCC(=O)Nc1cc(C)ccc1c1nnc([nH]1)C,C12H13ClN4O,264.71,18,11,0.25,4,3,2,70.86,70.67,1.69,1.7,2.08,1.72,3.02,2.04,-2.74,4.81e-01,1.82e-03,Soluble,-2.8,4.20e-01,1.59e-03,Soluble,-5.18,1.76e-03,6.64e-06,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.71,0,0,0,0,0,0.55,0,1,0,2.34
Molecule 107,Cc1nnc(s1)NC(=O)CCl,C5H6ClN3OS,191.64,11,5,0.4,3,3,1,43.98,83.12,0.62,0.9,0.83,-0.02,2.14,0.89,-1.73,3.54e+00,1.85e-02,Very soluble,-2.23,1.13e+00,5.88e-03,Soluble,-2.33,8.90e-01,4.65e-03,Soluble,High,No,No,No,No,No,No,No,-6.83,0,1,0,0,1,0.55,0,1,1,2.85
Molecule 108,ClCC(=O)NCc1c(C)noc1C,C8H11ClN2O2,202.64,13,5,0.5,4,3,1,48.81,55.13,1.68,0.9,0.99,0.31,2.08,1.19,-1.68,4.20e+00,2.07e-02,Very soluble,-1.64,4.61e+00,2.28e-02,Very soluble,-3.44,7.27e-02,3.59e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.9,0,0,0,0,0,0.55,0,1,1,2.56
Molecule 109,ClCC(=O)N1C(C)Cc2c1cccc2,C11H12ClNO,209.67,14,6,0.36,2,1,0,61.05,20.31,2.08,2.37,1.82,2.33,2.45,2.21,-2.82,3.19e-01,1.52e-03,Soluble,-2.44,7.66e-01,3.66e-03,Soluble,-3.42,8.03e-02,3.83e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.9,0,0,0,0,0,0.55,0,1,1,2.2
